"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001400","GISAHARG","PUBLISHED","2008","AMR","ARG","SA_OTHER_ALCOHOL","0.36","0.36000","","",""
"SA_0000001400","GISAHAND","PUBLISHED","2008","EUR","AND","SA_TOTAL","11.02","11.02000","","",""
"SA_0000001400","GISAHDMA","PUBLISHED","2010","AMR","DMA","SA_WINE","0.74","0.74000","","",""
"SA_0000001400","GISAHJAM","PUBLISHED","2011","AMR","JAM","SA_OTHER_ALCOHOL","0.26","0.26000","","",""
"SA_0000001400","GISAHTTO","PUBLISHED","2009","AMR","TTO","SA_WINE","0.12","0.12000","","",""
"SA_0000001400","GISAHCOL","PUBLISHED","2010","AMR","COL","SA_TOTAL","4.28","4.28000","","",""
"SA_0000001400","GISAHSYR","PUBLISHED","2005","EMR","SYR","SA_TOTAL","0.92","0.92000","","",""
"SA_0000001400","GISAHSDN","PUBLISHED","2005","EMR","SDN","SA_SPIRITS","0.27","0.27000","","",""
"SA_0000001400","GISAHHTI","PUBLISHED","2002","AMR","HTI","SA_TOTAL","6.10","6.10000","","",""
"SA_0000001400","GISAHPAK","PUBLISHED","2000","EMR","PAK","SA_TOTAL","0.02","0.02000","","",""
"SA_0000001400","GISAHSTP","PUBLISHED","2002","AFR","STP","SA_TOTAL","5.80","5.80000","","",""
"SA_0000001400","GISAHCPV","PUBLISHED","2011","AFR","CPV","SA_TOTAL","5.07","5.07000","","",""
"SA_0000001400","GISAHISR","PUBLISHED","2008","EUR","ISR","SA_BEER","1.02","1.02000","","",""
"SA_0000001400","GISAHBTN","PUBLISHED","2009","SEAR","BTN","SA_WINE","0.02","0.02000","","",""
"SA_0000001400","GISAHWSM","PUBLISHED","2008","WPR","WSM","SA_TOTAL","3.97","3.97000","","",""
"SA_0000001400","GISAHERI","PUBLISHED","2000","AFR","ERI","SA_SPIRITS","0.01","0.01000","","",""
"SA_0000001400","GISAHBDI","PUBLISHED","2002","AFR","BDI","SA_WINE","0.01","0.01000","","",""
"SA_0000001400","GISAHMKD","PUBLISHED","2010","EUR","MKD","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHLBR","PUBLISHED","2004","AFR","LBR","SA_TOTAL","0.00","0.00000","","",""
"SA_0000001400","GISAHGEO","PUBLISHED","2011","EUR","GEO","SA_BEER","1.84","1.84000","","",""
"SA_0000001400","GISAHZAF","PUBLISHED","2012","AFR","ZAF","SA_SPIRITS","0.59","0.59000","","",""
"SA_0000001400","GISAHZAF","PUBLISHED","2007","AFR","ZAF","SA_WINE","1.40","1.40000","","",""
"SA_0000001400","GISAHNPL","PUBLISHED","2001","SEAR","NPL","SA_TOTAL","0.09","0.09000","","",""
"SA_0000001400","GISAHGTM","PUBLISHED","2012","AMR","GTM","SA_OTHER_ALCOHOL","0.01","0.01000","","",""
"SA_0000001400","GISAHSAU","PUBLISHED","2012","EMR","SAU","SA_SPIRITS","0.09","0.09000","","",""
"SA_0000001400","GISAHCMR","PUBLISHED","2008","AFR","CMR","SA_OTHER_ALCOHOL","3.47","3.47000","","",""
"SA_0000001400","GISAHSWZ","PUBLISHED","2009","AFR","SWZ","SA_BEER","1.56","1.56000","","",""
"SA_0000001400","GISAHARE","PUBLISHED","2002","EMR","ARE","SA_TOTAL","1.72","1.72000","","",""
"SA_0000001400","GISAHBEL","PUBLISHED","2008","EUR","BEL","SA_BEER","5.04","5.04000","","",""
"SA_0000001400","GISAHOMN","PUBLISHED","2007","EMR","OMN","SA_TOTAL","0.57","0.57000","","",""
"SA_0000001400","GISAHMDA","PUBLISHED","2013","EUR","MDA","SA_BEER","2.10","2.10000","","",""
"SA_0000001400","GISAHPRT","PUBLISHED","2001","EUR","PRT","SA_WINE","6.65","6.65000","","",""
"SA_0000001400","GISAHBLR","PUBLISHED","2001","EUR","BLR","SA_OTHER_ALCOHOL","4.47","4.47000","","",""
"SA_0000001400","GISAHMLT","PUBLISHED","2008","EUR","MLT","SA_SPIRITS","1.44","1.44000","","",""
"SA_0000001400","GISAHIRN","PUBLISHED","2000","EMR","IRN","SA_BEER","0.00","0.00000","","",""
"SA_0000001400","GISAHUGA","PUBLISHED","2009","AFR","UGA","SA_OTHER_ALCOHOL","8.83","8.83000","","",""
"SA_0000001400","GISAHROU","PUBLISHED","2006","EUR","ROU","SA_SPIRITS","0.90","0.90000","","",""
"SA_0000001400","GISAHCMR","PUBLISHED","2010","AFR","CMR","SA_BEER","2.53","2.53000","","",""
"SA_0000001400","GISAHESP","PUBLISHED","2001","EUR","ESP","SA_TOTAL","9.86","9.86000","","",""
"SA_0000001400","GISAHSVN","PUBLISHED","2007","EUR","SVN","SA_TOTAL","11.02","11.02000","","",""
"SA_0000001400","GISAHMRT","PUBLISHED","2008","AFR","MRT","SA_TOTAL","0.02","0.02000","","",""
"SA_0000001400","GISAHHTI","PUBLISHED","2012","AMR","HTI","SA_SPIRITS","5.65","5.65000","","",""
"SA_0000001400","GISAHPOL","PUBLISHED","2002","EUR","POL","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHPAK","PUBLISHED","2013","EMR","PAK","SA_WINE","0.00","0.00000","","",""
"SA_0000001400","GISAHMLT","PUBLISHED","2005","EUR","MLT","SA_TOTAL","6.41","6.41000","","",""
"SA_0000001400","GISAHMEX","PUBLISHED","2013","AMR","MEX","SA_WINE","0.22","0.22000","","",""
"SA_0000001400","GISAHBHR","PUBLISHED","2010","EMR","BHR","SA_WINE","0.11","0.11000","","",""
"SA_0000001400","GISAHAZE","PUBLISHED","2009","EUR","AZE","SA_SPIRITS","1.45","1.45000","","",""
"SA_0000001400","GISAHETH","PUBLISHED","2009","AFR","ETH","SA_SPIRITS","0.06","0.06000","","",""
"SA_0000001400","GISAHSRB","PUBLISHED","2006","EUR","SRB","SA_OTHER_ALCOHOL","0.20","0.20000","","",""
"SA_0000001400","GISAHTUV","PUBLISHED","2011","WPR","TUV","SA_WINE","1.15","1.15000","","",""
"SA_0000001400","GISAHCOM","PUBLISHED","2000","AFR","COM","SA_WINE","0.03","0.03000","","",""
"SA_0000001400","GISAHEGY","PUBLISHED","2004","EMR","EGY","SA_BEER","0.08","0.08000","","",""
"SA_0000001400","GISAHCMR","PUBLISHED","2005","AFR","CMR","SA_SPIRITS","0.00","0.00000","","",""
"SA_0000001400","GISAHBEN","PUBLISHED","2007","AFR","BEN","SA_SPIRITS","0.10","0.10000","","",""
"SA_0000001400","GISAHTCD","PUBLISHED","2000","AFR","TCD","SA_BEER","0.17","0.17000","","",""
"SA_0000001400","GISAHTUR","PUBLISHED","2006","EUR","TUR","SA_WINE","0.05","0.05000","","",""
"SA_0000001400","GISAHWSM","PUBLISHED","2010","WPR","WSM","SA_SPIRITS","0.35","0.35000","","",""
"SA_0000001400","GISAHGNQ","PUBLISHED","2013","AFR","GNQ","SA_SPIRITS","0.00","0.00000","","",""
"SA_0000001400","GISAHSGP","PUBLISHED","2013","WPR","SGP","SA_SPIRITS","0.29","0.29000","","",""
"SA_0000001400","GISAHNZL","PUBLISHED","2000","WPR","NZL","SA_OTHER_ALCOHOL","0.55","0.55000","","",""
"SA_0000001400","GISAHNOR","PUBLISHED","2002","EUR","NOR","SA_WINE","1.81","1.81000","","",""
"SA_0000001400","GISAHSRB","PUBLISHED","2010","EUR","SRB","SA_WINE","4.45","4.45000","","",""
"SA_0000001400","GISAHQAT","PUBLISHED","2011","EMR","QAT","SA_WINE","0.13","0.13000","","",""
"SA_0000001400","GISAHTZA","PUBLISHED","2013","AFR","TZA","SA_TOTAL","4.20","4.20000","","",""
"SA_0000001400","GISAHUKR","PUBLISHED","2007","EUR","UKR","SA_TOTAL","8.86","8.86000","","",""
"SA_0000001400","GISAHRUS","PUBLISHED","2002","EUR","RUS","SA_WINE","0.80","0.80000","","",""
"SA_0000001400","GISAHCHN","PUBLISHED","2000","WPR","CHN","SA_TOTAL","3.06","3.06000","","",""
"SA_0000001400","GISAHGEO","PUBLISHED","2004","EUR","GEO","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHAFG","PUBLISHED","2004","EMR","AFG","SA_BEER","0.02","0.02000","","",""
"SA_0000001400","GISAHCHE","PUBLISHED","2010","EUR","CHE","SA_TOTAL","10.01","10.01000","","",""
"SA_0000001400","GISAHSEN","PUBLISHED","2007","AFR","SEN","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHARG","PUBLISHED","2009","AMR","ARG","SA_SPIRITS","0.40","0.40000","","",""
"SA_0000001400","GISAHNER","PUBLISHED","2011","AFR","NER","SA_SPIRITS","0.07","0.07000","","",""
"SA_0000001400","GISAHNGA","PUBLISHED","2004","AFR","NGA","SA_BEER","0.52","0.52000","","",""
"SA_0000001400","GISAHQAT","PUBLISHED","2014","EMR","QAT","SA_TOTAL","1.15","1.15000","","",""
"SA_0000001400","GISAHBOL","PUBLISHED","2006","AMR","BOL","SA_OTHER_ALCOHOL","0.01","0.01000","","",""
"SA_0000001400","GISAHZAF","PUBLISHED","2005","AFR","ZAF","SA_TOTAL","8.69","8.69000","","",""
"SA_0000001400","GISAHDEU","PUBLISHED","2000","EUR","DEU","SA_WINE","3.18","3.18000","","",""
"SA_0000001400","GISAHGRC","PUBLISHED","2007","EUR","GRC","SA_SPIRITS","2.27","2.27000","","",""
"SA_0000001400","GISAHLVA","PUBLISHED","2008","EUR","LVA","SA_WINE","1.13","1.13000","","",""
"SA_0000001400","GISAHVUT","PUBLISHED","2005","WPR","VUT","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHNIU","PUBLISHED","2008","WPR","NIU","SA_WINE","0.12","0.12000","","",""
"SA_0000001400","GISAHDMA","PUBLISHED","2009","AMR","DMA","SA_OTHER_ALCOHOL","0.05","0.05000","","",""
"SA_0000001400","GISAHSAU","PUBLISHED","2000","EMR","SAU","SA_SPIRITS","0.05","0.05000","","",""
"SA_0000001400","GISAHKGZ","PUBLISHED","2001","EUR","KGZ","SA_TOTAL","2.62","2.62000","","",""
"SA_0000001400","GISAHSEN","PUBLISHED","2011","AFR","SEN","SA_WINE","0.13","0.13000","","",""
"SA_0000001400","GISAHZAF","PUBLISHED","2009","AFR","ZAF","SA_BEER","3.74","3.74000","","",""
"SA_0000001400","GISAHLAO","PUBLISHED","2011","WPR","LAO","SA_TOTAL","5.39","5.39000","","",""
"SA_0000001400","GISAHCZE","PUBLISHED","2012","EUR","CZE","SA_SPIRITS","3.14","3.14000","","",""
"SA_0000001400","GISAHSVK","PUBLISHED","2010","EUR","SVK","SA_TOTAL","10.13","10.13000","","",""
"SA_0000001400","GISAHMHL","PUBLISHED","2000","WPR","MHL","SA_WINE","No data","","","",""
"SA_0000001400","GISAHSRB","PUBLISHED","2000","EUR","SRB","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHCOD","PUBLISHED","2010","AFR","COD","SA_BEER","0.62","0.62000","","",""
"SA_0000001400","GISAHMRT","PUBLISHED","2000","AFR","MRT","SA_TOTAL","0.03","0.03000","","",""
"SA_0000001400","GISAHVCT","PUBLISHED","2005","AMR","VCT","SA_TOTAL","6.04","6.04000","","",""
"SA_0000001400","GISAHCOG","PUBLISHED","2002","AFR","COG","SA_TOTAL","2.55","2.55000","","",""
"SA_0000001400","GISAHURY","PUBLISHED","2000","AMR","URY","SA_TOTAL","6.65","6.65000","","",""
"SA_0000001400","GISAHHRV","PUBLISHED","2010","EUR","HRV","SA_WINE","6.05","6.05000","","",""
"SA_0000001400","GISAHTTO","PUBLISHED","2003","AMR","TTO","SA_BEER","2.78","2.78000","","",""
"SA_0000001400","GISAHOMN","PUBLISHED","2008","EMR","OMN","SA_WINE","0.02","0.02000","","",""
"SA_0000001400","GISAHBEL","PUBLISHED","2000","EUR","BEL","SA_TOTAL","11.21","11.21000","","",""
"SA_0000001400","GISAHURY","PUBLISHED","2009","AMR","URY","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHARG","PUBLISHED","2001","AMR","ARG","SA_SPIRITS","0.49","0.49000","","",""
"SA_0000001400","","PUBLISHED","2005","WPR","MHL","SA_SPIRITS","No data","","","",""
"SA_0000001400","GISAHZWE","PUBLISHED","2005","AFR","ZWE","SA_WINE","0.01","0.01000","","",""
"SA_0000001400","GISAHHTI","PUBLISHED","2004","AMR","HTI","SA_SPIRITS","6.08","6.08000","","",""
"SA_0000001400","GISAHBEN","PUBLISHED","2002","AFR","BEN","SA_WINE","0.10","0.10000","","",""
"SA_0000001400","GISAHMEX","PUBLISHED","2010","AMR","MEX","SA_SPIRITS","1.12","1.12000","","",""
"SA_0000001400","GISAHBHR","PUBLISHED","2009","EMR","BHR","SA_TOTAL","1.95","1.95000","","",""
"SA_0000001400","GISAHFSM","PUBLISHED","2000","WPR","FSM","SA_TOTAL","2.23","2.23000","","",""
"SA_0000001400","GISAHTCD","PUBLISHED","2003","AFR","TCD","SA_SPIRITS","0.03","0.03000","","",""
"SA_0000001400","GISAHFRA","PUBLISHED","2011","EUR","FRA","SA_OTHER_ALCOHOL","0.20","0.20000","","",""
"SA_0000001400","GISAHPAK","PUBLISHED","2010","EMR","PAK","SA_SPIRITS","0.03","0.03000","","",""
"SA_0000001400","GISAHSYC","PUBLISHED","2002","AFR","SYC","SA_WINE","3.72","3.72000","","",""
"SA_0000001400","GISAHUKR","PUBLISHED","2004","EUR","UKR","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHBHR","PUBLISHED","2014","EMR","BHR","SA_OTHER_ALCOHOL","0.02","0.02000","","",""
"SA_0000001400","GISAHCOM","PUBLISHED","2004","AFR","COM","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHAZE","PUBLISHED","2006","EUR","AZE","SA_BEER","0.30","0.30000","","",""
"SA_0000001400","GISAHVUT","PUBLISHED","2005","WPR","VUT","SA_WINE","0.22","0.22000","","",""
"SA_0000001400","GISAHCOD","PUBLISHED","2001","AFR","COD","SA_SPIRITS","0.02","0.02000","","",""
"SA_0000001400","GISAHNIU","PUBLISHED","2004","WPR","NIU","SA_WINE","1.85","1.85000","","",""
"SA_0000001400","GISAHLAO","PUBLISHED","2003","WPR","LAO","SA_BEER","1.11","1.11000","","",""
"SA_0000001400","GISAHIDN","PUBLISHED","2001","SEAR","IDN","SA_TOTAL","0.06","0.06000","","",""
"SA_0000001400","GISAHZWE","PUBLISHED","2001","AFR","ZWE","SA_WINE","0.03","0.03000","","",""
"SA_0000001400","GISAHMAR","PUBLISHED","2003","EMR","MAR","SA_SPIRITS","0.06","0.06000","","",""
"SA_0000001400","GISAHSTP","PUBLISHED","2007","AFR","STP","SA_WINE","2.60","2.60000","","",""
"SA_0000001400","GISAHERI","PUBLISHED","2010","AFR","ERI","SA_OTHER_ALCOHOL","0.21","0.21000","","",""
"SA_0000001400","GISAHGAB","PUBLISHED","2001","AFR","GAB","SA_BEER","6.05","6.05000","","",""
"SA_0000001400","GISAHHND","PUBLISHED","2000","AMR","HND","SA_TOTAL","2.61","2.61000","","",""
"SA_0000001400","GISAHGNB","PUBLISHED","2008","AFR","GNB","SA_OTHER_ALCOHOL","1.25","1.25000","","",""
"SA_0000001400","GISAHKAZ","PUBLISHED","2010","EUR","KAZ","SA_OTHER_ALCOHOL","0.00","0.00000","","",""
"SA_0000001400","GISAHNLD","PUBLISHED","2013","EUR","NLD","SA_SPIRITS","1.52","1.52000","","",""
